3.16	渠道码自定义配置，图片社区和报名活动增加渠道码，review问题修改
3.17	logback 文件形式修改。开会 review，梳理两个需要优化的逻辑，主页游戏模板列表，新祝福热门视频。
3.18	着手主页游戏模板 和 新祝福的优化。
3.19	优化泡泡龙排行榜(避免循环中写查询，并加上缓存)
3.20	优化泡泡龙 获取本次积分，上传积分

3.23	本次积分压测报错，进行问题查看。泡泡龙排名新缓存zset方式。数据库连接池错误。
3.24	限流相关开发
3.25	openId限流,微信登录返回token
3.26	调试微信登录，限流细节部分完成。
3.27	调通微信登录，限流sit发版

3.30	测试限流,redis 故障演练
3.31	优化报名活动，获取本次排名接口
4.1 	代码评审,修改限流的过期时间的，上线的限流设置。
4.2 	尝试搭建 gitlab-ci,1.72发版checklist的wiki归档
4.3 	sonar,findbugs 扫描

4.7 	出一个代码质量报告
4.8		优化shiro对于redis的调用，对代码质量进行了评估
4.9 	174上进行代码质量的修改
4.10 	继续质量整改

4.13	代码质量评审,美的服务精准推送需求评审
4.14	数据看板，详细设计。
4.15	补充抽奖配置的详细设计，下午过详设。
4.16	获奖名单，玩家列表，黑名单的openId的展示,查询，和导出
4.17	梳理积分规则的逻辑，质量整改评审

4.20	flyway体系的搭建，质量评审
4.21	开发积分规则增加参数。
4.22	梳理积分增减的逻辑，积分规则测试案例评审，配合测试积分规则调用
4.23	修复报名活动只扣积分失败的情况，修复涉及现金和积分无法取消报名的情况
4.24	取消报名回退奖励积分bug修复

4.26	联调报名活动积分规则调用，立即支付金额变化无法支付bug修复
4.27	后台首页优化接口定义
4.28	后台首页优化实现
4.29	适配wcp关注状态新接口，代码review
4.30	首页优化，联调问题。集中办公美的服务430活动

5.6 	熔断开发 80%
5.7 	熔断开发 完成，做一轮验证。虚拟券导出bug修复
5.8 	质量整改,涉及小程序码生成AdvUtil，抽奖LuckUtil。200漏洞
5.9 	mvn依赖整理

5.11	casacolmo交接业务
5.12	继续交接casacolmo，代码部分,ver压测环境的调试
5.13	压测环境支撑，176联调准备
5.14 	联调176版本数据看板
5.15	联调问题修改

5.18	数据看板改造,熔断性能测试
5.19	熔断压测问题的排查
5.20 	熔断的参数调优，openId限流,数据看板对接ccrm
5.21	openId限流改为176,梳理报名活动流程
5.22	数据看板性别统计bug定位

5.25 	数据看板性别统计bug修复,175代码review
5.26	解决sit的casacolmo的评论bug，美居关联抽奖旧接口改造和新接口
5.27	继续开发新接口,数据看板案例评审，review （玩家列表和黑名单及导出:签到，红包。邀请卡）
5.28	新接口开发完成
5.29 	报名活动取消报名bug，导出文件乱码bug,扭蛋机需求评审，176测试案例评审，抽奖全量用例评审

6.1		美居关联抽奖接口压测，扭蛋机需求整理
6.2		扭蛋机详设完成
6.3 	详设评审
6.4		详设补充，扭蛋机开发20%
6.5 	设计接口给签到,继续扭蛋机开发

6.8		继续开发扭蛋机，扭蛋机ued评审
6.9 	继续开发，扭蛋机修改点
6.10	完成扭蛋机开发
6.11	修改sql注入的安全问题，排查数据看板数据问题
6.12	代码review，全局黑名单白名单开发

6.15	联调扭蛋机后台,对接移动端开发
6.16	奖项设置校验,处理联调问题
6.17	扭蛋机后台sit提测,优化小程序码生成(还差场景布置，通用报名),处理移动端联调问题
6.18 	优化异常,关联活动的展示问题
6.19	解决uat上也存在的遗留bug(导出，修改奖品)，移动端联调

6.22	fghijkl的dao代码结构整改，移动端联调
6.23	联调中的问题处理(中途限制抽奖次数),
6.24 	代码整改完成，扭蛋的图片像素

6.28 	黑名单导入导出开发（区分主体?）,整理整改的review
6.29	代码结构优化排查问题，扭蛋机分享抽奖次数bug
6.30	黑名单开发接口定义60%
7.1		完成开发黑名单
7.2 	黑名单联调
7.3 	黑名单sit提测

7.6		黑名单小问题修改
7.7 	上线前sonar质量检测
7.8 	质量整改完成，日志输出优化
7.9		日志输出优化完成，整理版本上线材料
7.10	精准激励需求评审

7.13 	部署下新环境
7.14	180版本需求设计
7.15	开发精准推送10%
7.16	开发精准推送20%
7.17 	开发精准推送30%

7.20 	开发精准推送35%
7.21  	精准交互对接，导出csv，定向人群和密令放入抽奖规则
7.22	精准开发,使用密令接口
7.23 	精准开发，上线前质量扫描
7.24 	精准开发

7.27 	操作日志开发
7.28 	调休
7.29  	操作日志开发,180测试案例评审
7.30 	精准提测，跟随问题(文件上传10w限制)
7.31 	继续跟进测试问题

8.3		继续跟进测试，讨论精准任务模式的流程。
8.4 	对接ccrm传输人群包模式方案
8.5 	定位生成问题（限流提示语），ver环境迁移
